3.30E+03,2.20E+03
3.50E+03,2.90E+03
3.30E+03,2.90E+03
3.50E+03,3.10E+03
3.50E+03,3.30E+03
3.30E+03,3.50E+03
3.50E+03,3.70E+03
3.50E+03,3.90E+03
3.50E+03,4.00E+03
3.50E+03,4.10E+03
3.50E+03,4.30E+03
3.30E+03,4.30E+03
3.50E+03,4.50E+03
3.50E+03,4.70E+03
3.50E+03,4.80E+03
3.30E+03,4.90E+03
3.50E+03,5.00E+03
3.80E+03,5.50E+03
3.90E+03,5.70E+03
3.80E+03,5.80E+03
3.70E+03,5.80E+03
3.50E+03,5.60E+03
3.50E+03,5.70E+03
3.30E+03,5.90E+03
3.50E+03,6.10E+03
3.30E+03,6.50E+03
3.50E+03,6.40E+03
3.80E+03,6.60E+03
4.50E+03,6.50E+03
4.70E+03,6.10E+03
4.30E+03,5.70E+03
4.50E+03,5.40E+03
5.10E+03,5.30E+03
5.10E+03,5.00E+03
5.00E+03,5.00E+03
5.10E+03,4.70E+03
5.00E+03,4.70E+03
5.20E+03,4.50E+03
5.50E+03,4.40E+03
5.60E+03,4.40E+03
5.50E+03,4.10E+03
5.70E+03,3.90E+03
5.90E+03,4.10E+03
6.10E+03,3.90E+03
6.30E+03,4.10E+03
6.50E+03,4.10E+03
6.70E+03,4.10E+03
6.90E+03,4.10E+03
7.00E+03,4.50E+03
7.30E+03,4.50E+03
7.30E+03,4.70E+03
7.40E+03,5.10E+03
7.70E+03,5.50E+03
7.80E+03,5.70E+03
7.30E+03,6.20E+03
7.30E+03,6.50E+03
7.60E+03,6.50E+03
7.70E+03,6.60E+03
8.10E+03,6.60E+03
8.50E+03,6.30E+03
8.50E+03,6.00E+03
8.50E+03,5.70E+03
8.20E+03,5.70E+03
8.50E+03,5.30E+03
8.50E+03,5.20E+03
8.50E+03,5.10E+03
8.50E+03,5.00E+03
8.50E+03,4.90E+03
8.50E+03,4.80E+03
8.50E+03,4.70E+03
8.50E+03,4.60E+03
8.50E+03,4.50E+03
8.20E+03,4.60E+03
7.80E+03,4.60E+03
7.70E+03,4.30E+03
8.00E+03,4.30E+03
8.10E+03,4.00E+03
8.50E+03,4.20E+03
8.50E+03,4.10E+03
8.50E+03,4.00E+03
8.50E+03,3.90E+03
8.50E+03,3.80E+03
8.50E+03,3.70E+03
8.50E+03,3.60E+03
8.50E+03,3.50E+03
8.50E+03,3.40E+03
8.20E+03,3.20E+03
8.00E+03,3.20E+03
7.80E+03,3.40E+03
7.60E+03,3.40E+03
7.40E+03,3.40E+03
7.30E+03,3.00E+03
7.30E+03,2.80E+03
7.70E+03,3.20E+03
8.00E+03,2.90E+03
8.10E+03,3.00E+03
8.50E+03,3.10E+03
8.50E+03,3.00E+03
8.50E+03,2.90E+03
8.50E+03,2.80E+03
8.50E+03,2.70E+03
8.50E+03,2.60E+03
8.50E+03,2.50E+03
8.50E+03,2.40E+03
8.50E+03,2.30E+03
8.20E+03,2.10E+03
7.80E+03,2.10E+03
6.90E+03,2.20E+03
6.70E+03,2.30E+03
6.50E+03,2.30E+03
6.30E+03,2.30E+03
6.10E+03,2.30E+03
5.90E+03,2.30E+03
5.90E+03,2.90E+03
6.10E+03,2.90E+03
6.30E+03,2.90E+03
6.50E+03,2.90E+03
6.70E+03,2.90E+03
6.70E+03,3.50E+03
6.50E+03,3.50E+03
6.30E+03,3.50E+03
6.10E+03,3.50E+03
5.90E+03,3.50E+03
5.30E+03,2.80E+03
4.70E+03,2.10E+03
4.30E+03,2.60E+03
4.70E+03,2.90E+03
5.00E+03,3.10E+03
5.10E+03,2.90E+03
5.30E+03,3.10E+03
5.00E+03,3.40E+03
5.20E+03,3.70E+03
5.00E+03,3.90E+03
5.10E+03,3.90E+03
5.10E+03,4.20E+03
5.00E+03,4.20E+03
4.70E+03,4.40E+03
4.70E+03,4.70E+03
4.30E+03,4.40E+03
4.30E+03,4.60E+03
4.10E+03,4.40E+03
3.90E+03,4.60E+03
3.70E+03,4.40E+03
3.70E+03,4.30E+03
3.80E+03,4.30E+03
3.70E+03,4.10E+03
3.70E+03,4.00E+03
3.70E+03,3.90E+03
3.80E+03,4.00E+03
3.90E+03,3.80E+03
3.70E+03,3.70E+03
3.50E+03,3.60E+03
3.50E+03,3.50E+03
3.70E+03,3.50E+03
3.80E+03,3.50E+03
3.70E+03,3.20E+03
3.80E+03,3.20E+03
3.90E+03,3.00E+03
3.50E+03,2.40E+03
