143.78,862.63
881.78,1.18
545.24,735.01
502.81,876.00
204.88,345.23
701.64,576.99
147.17,164.29
135.38,807.91
629.00,976.97
675.00,731.45
313.70,299.13
445.69,981.97
354.79,765.22
398.13,976.03
273.04,853.94
666.30,312.27
876.94,925.39
134.03,949.82
966.83,726.80
659.35,889.08
400.34,874.49
118.04,312.04
809.87,50.86
16.28,114.16
12.62,48.24
650.04,940.26
791.19,758.95
907.19,612.61
510.86,25.86
31.64,431.22
776.76,253.78
531.82,906.89
654.97,767.76
186.06,206.53
564.60,3.00
410.82,437.92
930.19,639.82
941.39,889.98
341.54,39.41
162.62,95.20
107.56,262.75
82.64,131.13
43.01,77.90
554.45,99.78
608.62,227.86
889.59,760.96
559.46,508.13
13.60,508.47
402.57,839.18
886.16,764.31
84.65,629.07
486.78,259.06
647.52,553.52
967.65,824.25
236.62,1.52
879.52,737.58
509.84,420.79
936.13,303.89
872.34,499.02
143.00,840.98
233.10,303.93
199.82,937.72
302.12,847.44
365.53,566.23
107.59,549.47
802.66,344.87
319.49,813.10
3.25,701.54
180.03,766.31
977.60,968.84
14.63,842.38
922.63,954.29
896.27,789.07
667.95,906.11
425.06,869.54
865.92,369.61
898.57,539.11
621.69,878.16
673.73,613.12
89.30,491.92
147.86,459.84
428.29,905.37
51.75,636.34
826.46,231.70
426.25,946.36
316.07,853.39
275.71,973.75
835.29,247.97
970.19,63.52
123.62,644.17
226.67,562.46
808.92,791.39
942.26,531.02
705.83,455.76
856.23,509.76
352.48,1.16
308.88,842.79
750.98,394.93
610.78,584.41
483.64,116.33
